id,name,email,companyId,role
088cb15c-2999-4133-8d7f-1916c862673f,Angelica Passos,angellicapassosup@gmail.com,,admin
0a2f8c9d-5e1b-4f2a-8c3d-9e7b1a2c5f8d,Arlei Baggio,arlei@baggioimoveis.com.br,baggio-company-id,manager
0b3f9d0e-6f2c-5g3b-9d4e-0f8c2b3d6g9e,Bruna Silva,bruna@delmack.com.br,delmack-company-id,broker
0c4g0e1f-7g3d-6h4c-0e5f-1g9d3c4e7h0f,Camila Pires,camila@delmack.com.br,delmack-company-id,manager
0d5h1f2g-8h4e-7i5d-1f6g-2h0e4d5f8i1g,Carlos Santos,carlos@baggioimoveis.com.br,baggio-company-id,broker
0e6i2g3h-9i5f-8j6e-2g7h-3i1f5e6g9j2h,Daniel Costa,daniel@delmack.com.br,delmack-company-id,broker
0f7j3h4i-0j6g-9k7f-3h8i-4j2g6f7h0k3i,Eduardo Oliveira,eduardo@baggioimoveis.com.br,baggio-company-id,finance
0g8k4i5j-1k7h-0l8g-4i9j-5k3h7g8i1l4j,Fernanda Martins,fernanda@delmack.com.br,delmack-company-id,broker
0h9l5j6k-2l8i-1m9h-5j0k-6l4i8h9j2m5k,Gabriela Rocha,gabriela@baggioimoveis.com.br,baggio-company-id,broker
0i0m6k7l-3m9j-2n0i-6k1l-7m5j9i0k3n6l,Henrique Lima,henrique@delmack.com.br,delmack-company-id,finance
0j1n7l8m-4n0k-3o1j-7l2m-8n6k0j1l4o7m,Isabela Gomes,isabela@baggioimoveis.com.br,baggio-company-id,broker
0k2o8m9n-5o1l-4p2k-8m3n-9o7l1k2m5p8n,João Silva,joao@delmack.com.br,delmack-company-id,broker
0l3p9n0o-6p2m-5q3l-9n4o-0p8m2l3n6q9o,Juliana Ferreira,juliana@baggioimoveis.com.br,baggio-company-id,broker
0m4q0o1p-7q3n-6r4m-0o5p-1q9n3m4o7r0p,Karina Alves,karina@delmack.com.br,delmack-company-id,broker
0n5r1p2q-8r4o-7s5n-1p6q-2r0o4n5p8s1q,Lucas Mendes,lucas@baggioimoveis.com.br,baggio-company-id,broker
0o6s2q3r-9s5p-8t6o-2q7r-3s1p5o6q9t2r,Marcio Ribeiro,marcio@delmack.com.br,delmack-company-id,manager
0p7t3r4s-0t6q-9u7p-3r8s-4t2q6p7r0u3s,Natalia Souza,natalia@baggioimoveis.com.br,baggio-company-id,broker
0q8u4s5t-1u7r-0v8q-4s9t-5u3r7q8s1v4t,Otavio Pereira,otavio@delmack.com.br,delmack-company-id,broker
0r9v5t6u-2v8s-1w9r-5t0u-6v4s8r9t2w5u,Patricia Nunes,patricia@baggioimoveis.com.br,baggio-company-id,finance
0s0w6u7v-3w9t-2x0s-6u1v-7w5t9s0u3x6v,Quentin Dias,quentin@delmack.com.br,delmack-company-id,broker
0t1x7v8w-4x0u-3y1t-7v2w-8x6u0t1v4y7w,Raquel Teixeira,raquel@baggioimoveis.com.br,baggio-company-id,broker
0u2y8w9x-5y1v-4z2u-8w3x-9y7v1u2w5z8x,Samuel Barbosa,samuel@delmack.com.br,delmack-company-id,broker
0v3z9x0y-6z2w-5a3v-9x4y-0z8w2v3x6a9y,Tatiana Cardoso,tatiana@baggioimoveis.com.br,baggio-company-id,broker
0w0a0y1z-7a3x-6b4w-0y5z-1a9x3w4y7b0z,Ubirajara Lopes,ubirajara@delmack.com.br,delmack-company-id,finance
0x1b1z2a-8b4y-7c5x-1z6a-2b0y4x5z8c1a,Vanessa Campos,vanessa@baggioimoveis.com.br,baggio-company-id,broker
0y2c2a3b-9c5z-8d6y-2a7b-3c1z5y6a9d2b,Wagner Freitas,wagner@delmack.com.br,delmack-company-id,broker
